G,AB,H,AVG,salary,allstar,birthYear,birthCountry,weight,height,bats,debutYear,ageDebut
626,1990,524,0.263316583,8.00E+06,1,1974,Other,220,72,L,1996,22
165,413,102,0.246973366,550000,0,1984,Other,200,70,B,2007,23
176,328,70,0.213414634,509500,0,1991,Other,217,71,B,2014,23
818,2336,609,0.260702055,797500,0,1988,USA,245,75,L,2012,24
151,396,92,0.232323232,501000,0,1985,Other,210,74,L,2013,28
422,990,246,0.248484848,506500,0,1989,Other,195,73,B,2013,24
613,2014,475,0.235849057,515050,0,1990,USA,200,74,R,2014,24
167,428,81,0.189252336,510000,0,1991,Other,170,70,B,2014,23
116,344,70,0.203488372,482500,0,1986,USA,230,74,L,2009,23
16,29,3,0.103448276,414000,0,1978,Other,245,74,R,2001,23
1072,3362,872,0.259369423,1560000,1,1987,Other,230,73,L,2010,23
359,1016,222,0.218503937,515500,0,1991,Other,215,77,R,2014,23
1243,4985,1568,0.314543631,1685240,1,1990,Other,166,66,R,2011,21
95,100,22,0.22,1953240,0,1990,Other,205,72,R,2011,21
910,2980,704,0.236241611,3446950.667,1,1987,Other,250,75,L,2010,23
702,1750,404,0.230857143,659875,0,1989,Other,160,66,L,2011,22
67,146,29,0.198630137,1300000,0,1978,Other,165,71,B,2002,24
188,87,12,0.137931034,5607500,0,1988,USA,230,76,L,2009,21
169,264,25,0.09469697,516350,0,1987,USA,210,73,R,2014,27
215,651,161,0.247311828,1525000,1,1972,USA,190,75,L,1994,22
75,118,11,0.093220339,509500,0,1989,USA,213,74,L,2016,27
402,1200,284,0.236666667,930375,0,1984,USA,185,71,R,2005,21
431,1249,286,0.228983187,2081250,0,1979,USA,210,73,L,1999,20
759,2716,774,0.284977909,2832500,0,1982,Other,180,69,L,2012,30
214,80,8,0.1,1527778,1,1988,USA,195,74,R,2012,24
288,983,231,0.234994914,526666.6667,0,1991,Other,225,72,L,2013,22
1031,3936,1160,0.294715447,2004166.667,1,1991,USA,215,74,R,2013,22
436,931,241,0.258861439,981750,0,1984,Other,185,73,R,2006,22
255,359,60,0.167130919,2709000,0,1986,USA,230,76,R,2010,24
200,362,46,0.127071823,10588144.5,1,1977,USA,185,75,R,2000,23
22,41,8,0.195121951,3.00E+06,0,1990,Other,230,73,R,2014,24
390,1238,290,0.234248788,515833.3333,0,1990,USA,205,73,L,2013,23
170,494,110,0.222672065,5525000,0,1979,USA,190,74,R,2003,24
60,122,26,0.213114754,1.00E+06,1,1971,USA,170,72,R,1995,24
57,158,42,0.265822785,925000,1,1969,USA,190,71,R,1993,24
995,2922,688,0.235455168,2334271.429,1,1987,USA,210,71,L,2009,22
813,2590,650,0.250965251,1742937.5,0,1981,USA,205,70,R,2008,27
1243,4595,1250,0.27203482,5604375,1,1984,Other,195,70,B,2006,22
405,21,2,0.095238095,1236500,0,1983,USA,205,77,R,2008,25
665,2316,626,0.27029361,512000,1,1992,Other,190,72,R,2014,22
230,352,57,0.161931818,6519142.857,0,1986,USA,223,76,R,2007,21
529,1255,333,0.265338645,1273333.333,0,1981,Other,220,74,R,2005,24
298,879,207,0.235494881,631166.6667,0,1981,USA,215,73,L,2008,27
115,21,2,0.095238095,4150000,0,1981,USA,215,76,R,2005,24
96,265,62,0.233962264,410500,0,1984,Other,220,74,R,2007,23
426,1368,308,0.225146199,2562500,0,1975,USA,250,74,R,1999,24
87,131,29,0.221374046,407500,0,1981,USA,190,71,R,2007,26
155,467,104,0.222698073,1600000,0,1978,USA,225,75,B,2002,24
808,2451,576,0.23500612,3239285.714,0,1979,USA,200,73,R,2003,24
318,691,158,0.228654124,512500,0,1989,USA,187,70,R,2015,26
484,1172,284,0.242320819,664233.3333,0,1986,USA,210,74,R,2012,26
814,2536,625,0.246451104,1225666.667,0,1985,USA,180,70,R,2010,25
590,1819,455,0.250137438,517500,0,1991,USA,192,71,B,2014,23
443,1608,426,0.264925373,3296250,1,1979,USA,190,72,R,2004,25
192,38,4,0.105263158,571300,0,1987,USA,200,74,R,2011,24
184,21,1,0.047619048,3.00E+06,0,1971,Other,210,73,R,1992,21
194,43,4,0.093023256,1606944.333,0,1991,USA,205,73,R,2012,21
1336,4633,1157,0.249730196,10350000,1,1980,Other,205,72,R,2004,24
232,417,95,0.227817746,523604.5,0,1984,USA,205,72,L,2010,26
507,1723,415,0.240858967,10735000,1,1978,Other,210,74,R,2003,25
49,85,10,0.117647059,1042875,0,1986,USA,220,74,R,2010,24
139,78,10,0.128205128,15002777.67,1,1980,USA,230,77,R,2001,21
1069,3403,807,0.237143697,1685714.286,0,1986,USA,188,72,R,2009,23
112,45,5,0.111111111,3687500,0,1979,Other,195,73,L,2002,23
192,426,108,0.253521127,1362500,1,1975,USA,210,69,R,1998,23
1084,3662,957,0.261332605,2354416.667,1,1988,USA,231,75,L,2011,23
1105,4049,1120,0.276611509,16121335.88,1,1977,Other,215,73,B,1998,21
71,37,5,0.135135135,512500,0,1988,USA,195,73,R,2014,26
508,1689,456,0.269982238,11800000,1,1976,USA,220,73,B,1999,23
522,1247,296,0.237369687,853000,0,1984,Other,210,74,L,2008,24
631,2188,531,0.242687386,2560000,0,1982,Other,205,70,R,2005,23
161,469,104,0.221748401,509350,0,1991,Other,205,75,R,2013,22
165,142,8,0.056338028,506250,0,1989,USA,201,72,R,2013,24
165,377,81,0.214854111,496000,0,1986,USA,185,71,R,2012,26
130,232,37,0.159482759,5350000,1,1984,USA,240,73,R,2006,22
1060,4092,1244,0.30400782,1249625,1,1986,USA,221,75,L,2011,25
348,1196,313,0.261705686,5583333.333,0,1973,USA,205,74,R,1999,26
458,965,248,0.256994819,832500,0,1984,Other,192,70,B,2004,20
916,2499,638,0.255302121,2378200,0,1983,Other,187,70,L,2008,25
225,632,132,0.208860759,9.00E+05,0,1971,Other,220,71,R,1997,26
278,827,199,0.240628779,584140,0,1986,USA,265,78,R,2009,23
292,190,21,0.110526316,6662500,0,1980,USA,225,75,R,2004,24
123,274,51,0.186131387,507500,0,1989,Other,235,77,R,2016,27
515,1636,448,0.273838631,1942857.143,0,1977,USA,200,71,R,2002,25
253,660,163,0.246969697,1362500,0,1973,USA,220,75,B,1999,26
481,1577,394,0.249841471,920625,0,1985,USA,225,76,L,2010,25
321,748,178,0.237967914,483000,0,1984,USA,215,75,L,2010,26
48,66,3,0.045454545,515000,0,1988,USA,215,73,R,2014,26
771,2418,623,0.257650951,1649285.714,0,1985,Other,200,70,B,2007,22
294,802,219,0.273067332,528666.6667,0,1986,USA,195,72,L,2009,23
311,705,178,0.25248227,477833.3333,0,1982,USA,195,69,R,2008,26
875,2116,502,0.237240076,1046083.333,0,1987,USA,190,73,R,2010,23
559,1714,433,0.252625438,537500,0,1988,USA,270,76,L,2014,26
1101,4190,1131,0.269928401,6868500,1,1982,USA,190,71,L,2006,24
129,248,50,0.201612903,425750,0,1983,USA,205,73,L,2008,25
225,738,173,0.234417344,10333333.33,1,1978,USA,215,72,B,2000,22
127,388,89,0.229381443,490000,0,1989,USA,191,72,L,2012,23
293,934,222,0.237687366,1300000,0,1975,USA,235,76,L,1998,23
1463,5431,1613,0.296998711,8241529.375,1,1983,USA,205,74,R,2007,24
365,876,194,0.221461187,454675,0,1986,USA,197,74,B,2008,22
99,207,37,0.178743961,508500,0,1992,Other,205,74,L,2015,23
144,328,72,0.219512195,538045,0,1984,USA,200,72,R,2011,27
493,1591,391,0.245757385,1016000,1,1987,USA,225,77,L,2010,23
88,212,50,0.235849057,508500,0,1991,USA,193,74,R,2015,24
376,905,189,0.208839779,508500,0,1990,USA,200,75,R,2015,25
1500,5421,1327,0.244788784,6346770.625,1,1987,USA,230,75,L,2008,21
72,105,18,0.171428571,8.00E+05,0,1978,USA,200,72,R,2003,25
706,2643,751,0.284146803,652000,1,1992,USA,230,77,R,2015,23
35,50,7,0.14,512500,0,1989,USA,200,75,R,2014,25
218,46,4,0.086956522,6171142.857,0,1984,USA,190,75,L,2007,23
565,1885,440,0.233421751,3983333.333,1,1980,USA,245,75,R,2004,24
27,26,6,0.230769231,403000,0,1983,USA,205,74,R,2007,24
133,370,80,0.216216216,506250,0,1983,USA,230,74,L,2007,24
225,89,6,0.06741573,13500000,1,1979,USA,240,74,L,2000,21
304,594,105,0.176767677,3723889,1,1989,USA,255,76,R,2009,20
221,232,22,0.094827586,15142857.14,0,1977,USA,230,76,R,1999,22
334,968,227,0.234504132,5666666.667,0,1976,USA,235,76,R,2000,24
231,528,114,0.215909091,591000,0,1985,USA,190,72,B,2008,23
88,127,32,0.251968504,525000,0,1980,USA,195,73,L,2002,22
80,87,11,0.126436782,3071666.667,0,1979,USA,205,74,R,2004,25
515,1266,253,0.199842022,729833.3333,0,1983,USA,212,73,R,2010,27
79,61,3,0.049180328,509500,0,1991,USA,180,74,R,2014,23
934,3460,945,0.273121387,5008571.429,1,1977,USA,245,72,R,2002,25
99,271,57,0.210332103,6033333,0,1976,USA,200,74,R,2000,24
1501,5622,1510,0.268587691,4960787.5,1,1985,Other,205,72,B,2007,22
510,1829,450,0.246036085,1388760,0,1986,Other,190,70,B,2009,23
1472,5440,1577,0.289889706,6843750,1,1984,Other,210,70,B,2005,21
413,1600,423,0.264375,2340000,0,1974,Other,195,70,R,1997,23
343,182,22,0.120879121,4325000,0,1988,USA,223,76,R,2009,21
1045,3894,1122,0.288135593,2151005,1,1986,USA,214,74,R,2010,24
244,420,54,0.128571429,14102083.13,1,1984,USA,230,75,R,2005,21
290,640,163,0.2546875,833333.3333,0,1974,Other,225,73,R,1996,22
940,3157,835,0.264491606,2571500,0,1983,Other,225,69,B,2006,23
275,943,226,0.239660657,8500000,1,1973,USA,210,74,R,1995,22
257,438,109,0.248858447,496666.6667,0,1986,USA,170,68,L,2011,25
196,438,97,0.221461187,512186.5,0,1987,USA,215,75,R,2014,27
1612,6284,1899,0.302196053,15750000,1,1982,Other,212,72,L,2005,23
333,1201,318,0.264779351,3450000,0,1982,USA,205,75,R,2004,22
196,153,11,0.071895425,3270833.333,0,1978,USA,225,74,L,2003,25
